CustomerKey,RentalKey,FilmKey,DateKey,Category,Rating,Amount,StoreID,DayOfWeek,WeekOfYear,Month
496,11386,496,12833,Travel,PG-13,0.99,1,6,33,8
140,11408,496,12855,Travel,PG-13,6.99,2,6,33,8
24,12106,496,13553,Travel,PG-13,0.99,2,7,33,8
592,13154,496,14601,Travel,PG-13,0.99,2,3,7,2
164,14394,496,15841,Travel,PG-13,0.99,1,3,34,8
136,444,833,1669,Children,R,1.99,2,5,24,6
424,587,833,1825,Children,R,0.99,2,5,24,6
197,3693,833,5140,Children,R,4.99,1,7,27,7
416,4283,833,5730,Children,R,0.99,2,1,27,7
272,4428,833,5875,Children,R,1.99,2,1,27,7
165,4943,833,6390,Children,R,0.99,1,2,28,7
7,5235,833,6682,Children,R,0.99,2,3,28,7
116,5904,833,7351,Children,R,1.99,1,4,30,7
76,6751,833,8198,Children,R,1.99,1,5,30,7
228,6933,833,8380,Children,R,0.99,2,6,30,7
225,7154,833,8601,Children,R,4.99,2,6,30,7
281,7652,833,9099,Children,R,0.99,2,7,30,7
75,9172,833,10619,Children,R,0.99,1,2,31,8
514,9629,833,11076,Children,R,2.99,2,3,31,8
503,10169,833,11616,Children,R,0.99,1,4,33,8
475,11146,833,12593,Children,R,2.99,2,5,33,8
520,11473,833,12920,Children,R,2.99,2,6,33,8
380,12034,833,13481,Children,R,0.99,1,7,33,8
92,12680,833,14127,Children,R,0.99,2,1,33,8
215,13115,833,14562,Children,R,0.99,2,1,33,8
204,14345,833,15792,Children,R,2.99,1,3,34,8
3,852,84,2126,Animation,PG,2.99,1,6,24,6
465,1758,84,3164,Animation,PG,2.99,1,2,25,6
201,1780,84,3187,Animation,PG,3.99,1,2,25,6
225,2664,84,4115,Animation,PG,2.99,2,5,27,7
206,2776,84,4227,Animation,PG,3.99,1,5,27,7
54,3735,84,5182,Animation,PG,2.99,2,7,27,7
128,4533,84,5980,Animation,PG,2.99,1,2,28,7
477,4701,84,6148,Animation,PG,2.99,1,2,28,7
84,5410,84,6857,Animation,PG,2.99,2,3,28,7
519,5931,84,7378,Animation,PG,2.99,2,4,30,7
523,6730,84,8177,Animation,PG,4.99,2,5,30,7
186,6749,84,8196,Animation,PG,2.99,1,5,30,7
510,6763,84,8210,Animation,PG,5.99,1,5,30,7
87,7399,84,8846,Animation,PG,2.99,2,6,30,7
443,8582,84,10029,Animation,PG,2.99,2,1,30,7
91,9383,84,10830,Animation,PG,4.99,1,2,31,8
74,10158,84,11605,Animation,PG,3.99,1,4,33,8
252,11792,84,13239,Animation,PG,2.99,2,6,33,8
528,12067,84,13514,Animation,PG,2.99,1,7,33,8
456,12842,84,14289,Animation,PG,2.99,2,1,33,8
506,12946,84,14393,Animation,PG,2.99,2,1,33,8
274,13459,84,14906,Animation,PG,2.99,1,2,34,8
260,14021,84,15468,Animation,PG,2.99,2,3,34,8
408,469,323,1696,Sports,G,2.99,2,5,24,6
427,600,323,1840,Sports,G,7.99,1,5,24,6
571,730,323,1988,Sports,G,4.99,1,6,24,6
196,2861,323,4312,Sports,G,2.99,1,5,27,7
167,4196,323,5643,Sports,G,2.99,1,1,27,7
597,5058,323,6505,Sports,G,2.99,2,3,28,7
230,5429,323,6876,Sports,G,2.99,1,3,28,7
215,6375,323,7822,Sports,G,5.99,1,5,30,7
535,6944,323,8391,Sports,G,2.99,1,6,30,7
318,7659,323,9106,Sports,G,2.99,2,7,30,7
266,7965,323,9412,Sports,G,2.99,1,7,30,7
177,8825,323,10272,Sports,G,2.99,1,2,31,8
99,9473,323,10920,Sports,G,2.99,2,3,31,8
132,10523,323,11970,Sports,G,2.99,1,4,33,8
508,10824,323,12271,Sports,G,4.99,2,5,33,8
172,11149,323,12596,Sports,G,4.99,2,5,33,8
202,12220,323,13667,Sports,G,3.99,1,7,33,8
253,12537,323,13984,Sports,G,5.99,1,7,33,8
318,13752,323,15199,Sports,G,2.99,1,2,34,8
60,4380,514,5827,Travel,PG-13,4.99,2,1,27,7
577,5084,514,6531,Travel,PG-13,2.99,2,3,28,7
191,5953,514,7400,Travel,PG-13,2.99,2,4,30,7
391,7863,514,9310,Travel,PG-13,2.99,2,7,30,7
596,10402,514,11849,Travel,PG-13,3.99,2,4,33,8
45,10894,514,12341,Travel,PG-13,3.99,2,5,33,8
89,1158,918,2480,Children,PG,7.99,2,7,24,6
224,2059,918,3510,Children,PG,5.99,2,4,27,7
313,3581,918,5028,Children,PG,5.99,2,7,27,7
414,5649,918,7096,Children,PG,4.99,2,4,30,7
512,6575,918,8022,Children,PG,4.99,2,5,30,7
563,7159,918,8606,Children,PG,5.99,2,6,30,7
494,9433,918,10880,Children,PG,7.99,2,3,31,8
485,11542,918,12989,Children,PG,7.99,2,6,33,8
453,11629,918,13076,Children,PG,4.99,2,6,33,8
229,12007,918,13454,Children,PG,4.99,2,7,33,8
575,14296,918,15743,Children,PG,4.99,2,3,34,8
36,365,38,1577,Horror,NC-17,0.99,2,5,24,6
135,635,38,1879,Horror,NC-17,0.99,2,6,24,6
198,3894,38,5341,Horror,NC-17,0.99,2,7,27,7
262,5292,38,6739,Horror,NC-17,0.99,2,3,28,7
245,7003,38,8450,Horror,NC-17,0.99,2,6,30,7
205,7554,38,9001,Horror,NC-17,0.99,2,7,30,7
513,9218,38,10665,Horror,NC-17,3.99,2,2,31,8
570,9646,38,11093,Horror,NC-17,3.99,2,3,31,8
566,10491,38,11938,Horror,NC-17,1.99,2,4,33,8
90,10667,38,12114,Horror,NC-17,3.99,2,4,33,8
534,11843,38,13290,Horror,NC-17,0.99,2,6,33,8
388,12194,38,13641,Horror,NC-17,0.99,2,7,33,8
248,984,196,2285,Animation,G,5.99,2,7,24,6
346,2971,196,4422,Animation,G,2.99,2,5,27,7
264,3232,196,4679,Animation,G,2.99,1,6,27,7
503,5377,196,6824,Animation,G,2.99,1,3,28,7
146,5610,196,7057,Animation,G,2.99,2,4,30,7
115,6011,196,7458,Animation,G,2.99,2,4,30,7
443,6593,196,8040,Animation,G,2.99,2,5,30,7
439,7096,196,8543,Animation,G,2.99,1,6,30,7
517,7792,196,9239,Animation,G,4.99,1,7,30,7
324,7912,196,9359,Animation,G,2.99,1,7,30,7
384,9063,196,10510,Animation,G,4.99,1,2,31,8
63,9363,196,10810,Animation,G,2.99,2,2,31,8
254,11376,196,12823,Animation,G,5.99,2,6,33,8
106,11606,196,13053,Animation,G,6.99,1,6,33,8
215,11958,196,13405,Animation,G,2.99,1,6,33,8
427,12382,196,13829,Animation,G,2.99,1,7,33,8
50,13224,196,14671,Animation,G,2.99,2,1,33,8
435,13564,196,15011,Animation,G,3.99,2,2,34,8
281,13584,196,15031,Animation,G,2.99,1,2,34,8
113,14303,196,15750,Animation,G,2.99,2,3,34,8
99,920,214,2211,Games,PG-13,4.99,1,7,24,6
482,1862,214,3282,Games,PG-13,4.99,1,3,25,6
531,2467,214,3918,Games,PG-13,5.99,1,4,27,7
169,4884,214,6331,Games,PG-13,5.99,1,2,28,7
597,7497,214,8944,Games,PG-13,4.99,1,7,30,7
433,8464,214,9911,Games,PG-13,4.99,1,1,30,7
121,11924,214,13371,Games,PG-13,7.99,1,6,33,8
187,13194,214,14641,Games,PG-13,4.99,1,1,33,8
363,321,369,1527,Drama,R,2.99,1,5,24,6
387,579,369,1817,Drama,R,5.99,1,5,24,6
443,3123,369,4574,Drama,R,3.99,1,6,27,7
440,4443,369,5890,Drama,R,2.99,1,1,27,7
595,9480,369,10927,Drama,R,2.99,1,3,31,8
147,9769,369,11216,Drama,R,2.99,1,3,31,8
81,11017,369,12464,Drama,R,2.99,1,5,33,8
220,13831,369,15278,Drama,R,4.99,1,2,34,8
488,1697,532,3097,Action,PG-13,3.99,1,2,25,6
83,2226,532,3677,Action,PG-13,2.99,1,4,27,7
177,2667,532,4118,Action,PG-13,3.99,1,5,27,7
364,5427,532,6874,Action,PG-13,4.99,1,3,28,7
426,8230,532,9677,Action,PG-13,2.99,1,1,30,7
304,8757,532,10204,Action,PG-13,2.99,1,2,31,8
267,9458,532,10905,Action,PG-13,5.99,1,3,31,8
560,12556,532,14003,Action,PG-13,5.99,1,7,33,8
494,12708,532,14155,Action,PG-13,2.99,1,3,7,2
372,12932,532,14379,Action,PG-13,2.99,1,1,33,8
157,1422,796,2779,Sports,NC-17,0.99,1,1,24,6
503,1535,796,2908,Sports,NC-17,0.99,1,2,25,6
488,3404,796,4851,Sports,NC-17,2.99,1,6,27,7
294,3494,796,4941,Sports,NC-17,6.99,2,6,27,7
8,5310,796,6757,Sports,NC-17,3.99,1,3,28,7
133,5527,796,6974,Sports,NC-17,1.99,1,4,30,7
146,6078,796,7525,Sports,NC-17,7.99,1,4,30,7
361,6457,796,7904,Sports,NC-17,3.99,2,5,30,7
373,7677,796,9124,Sports,NC-17,5.99,2,7,30,7
96,7771,796,9218,Sports,NC-17,6.99,2,7,30,7
161,10353,796,11800,Sports,NC-17,2.99,2,4,33,8
78,10615,796,12062,Sports,NC-17,6.99,1,4,33,8
152,11779,796,13226,Sports,NC-17,0.99,1,6,33,8
276,12413,796,13860,Sports,NC-17,1.99,2,7,33,8
92,14254,796,15701,Sports,NC-17,1.99,2,3,34,8
90,80,255,1250,Action,PG-13,8.99,2,4,24,6
594,974,255,2273,Action,PG-13,6.99,1,7,24,6
523,1699,255,3099,Action,PG-13,8.99,1,2,25,6
26,1998,255,3444,Action,PG-13,4.99,2,3,25,6
507,3190,255,4637,Action,PG-13,6.99,2,6,27,7
338,3405,255,4852,Action,PG-13,4.99,2,6,27,7
342,4037,255,5484,Action,PG-13,4.99,1,1,27,7
103,4059,255,5506,Action,PG-13,5.99,1,1,27,7
236,4902,255,6349,Action,PG-13,4.99,1,2,28,7
434,5399,255,6846,Action,PG-13,4.99,1,3,28,7
297,5516,255,6963,Action,PG-13,6.99,1,4,30,7
307,5781,255,7228,Action,PG-13,4.99,2,4,30,7
456,6047,255,7494,Action,PG-13,4.99,1,4,30,7
460,6172,255,7619,Action,PG-13,6.99,2,5,30,7
218,6881,255,8328,Action,PG-13,4.99,1,6,30,7
347,7281,255,8728,Action,PG-13,8.99,1,6,30,7
231,10100,255,11547,Action,PG-13,5.99,1,4,33,8
546,10347,255,11794,Action,PG-13,4.99,1,4,33,8
211,11535,255,12982,Action,PG-13,4.99,1,6,33,8
253,12304,255,13751,Action,PG-13,4.99,2,3,7,2
15,12305,255,13752,Action,PG-13,4.99,2,7,33,8
376,14053,255,15500,Action,PG-13,4.99,1,3,34,8
99,374,806,1588,New,PG,5.99,1,5,24,6
141,460,806,1685,New,PG,2.99,1,5,24,6
112,1902,806,3330,New,PG,2.99,2,3,25,6
246,2180,806,3631,New,PG,2.99,2,4,27,7
559,2220,806,3671,New,PG,5.99,1,4,27,7
463,3278,806,4725,New,PG,3.99,2,6,27,7
495,3730,806,5177,New,PG,2.99,1,7,27,7
237,3954,806,5401,New,PG,2.99,1,7,27,7
293,5748,806,7195,New,PG,5.99,1,4,30,7
274,7834,806,9281,New,PG,5.99,1,7,30,7
38,8115,806,9562,New,PG,5.99,2,1,30,7
532,9493,806,10940,New,PG,5.99,1,3,31,8
195,10023,806,11470,New,PG,5.99,2,3,31,8
440,10539,806,11986,New,PG,2.99,1,4,33,8
564,10746,806,12193,New,PG,6.99,2,5,33,8
409,12492,806,13939,New,PG,2.99,1,7,33,8
462,13615,806,15062,New,PG,2.99,1,2,34,8
76,13739,806,15186,New,PG,0,2,3,7,2
538,136,301,1312,Animation,PG-13,5.99,1,4,24,6
535,482,301,1710,Animation,PG-13,4.99,2,5,24,6
380,2334,301,3785,Animation,PG-13,4.99,2,4,27,7
105,3075,301,4526,Animation,PG-13,7.99,2,6,27,7
425,3246,301,4693,Animation,PG-13,5.99,1,6,27,7
540,4695,301,6142,Animation,PG-13,7.99,1,2,28,7
530,6757,301,8204,Animation,PG-13,4.99,2,5,30,7
363,6913,301,8360,Animation,PG-13,4.99,2,6,30,7
164,6952,301,8399,Animation,PG-13,4.99,2,6,30,7
45,7324,301,8771,Animation,PG-13,4.99,1,6,30,7
209,9310,301,10757,Animation,PG-13,4.99,2,2,31,8
155,9399,301,10846,Animation,PG-13,4.99,1,2,31,8
517,10679,301,12126,Animation,PG-13,5.98,1,3,7,2
497,11154,301,12601,Animation,PG-13,4.99,1,5,33,8
16,12090,301,13537,Animation,PG-13,4.99,2,7,33,8
156,12872,301,14319,Animation,PG-13,8.99,2,1,33,8
391,13770,301,15217,Animation,PG-13,4.99,2,2,34,8
129,14382,301,15829,Animation,PG-13,8.99,2,3,34,8
219,259,407,1457,Games,R,2.99,2,4,24,6
490,910,407,2199,Games,R,0.99,2,7,24,6
94,957,407,2253,Games,R,4.99,2,7,24,6
211,1487,407,2853,Games,R,0.99,1,1,24,6
482,3051,407,4502,Games,R,1.99,2,6,27,7
363,3777,407,5224,Games,R,4.99,2,7,27,7
393,4611,407,6058,Games,R,0.99,1,2,28,7
579,5363,407,6810,Games,R,1.99,2,3,28,7
186,5615,407,7062,Games,R,4.99,2,4,30,7
289,6293,407,7740,Games,R,0.99,2,5,30,7
489,6599,407,8046,Games,R,0.99,2,5,30,7
194,6760,407,8207,Games,R,2.99,1,5,30,7
145,7532,407,8979,Games,R,0.99,2,7,30,7
294,9679,407,11126,Games,R,1.99,1,3,31,8
91,10064,407,11511,Games,R,0.99,1,3,33,8
75,11884,407,13331,Games,R,0.99,2,6,33,8
539,12164,407,13611,Games,R,2.99,2,7,33,8
30,12722,407,14169,Games,R,0.99,2,1,33,8
276,14044,407,15491,Games,R,3.99,2,3,34,8
257,14408,407,15855,Games,R,4.99,1,3,34,8
214,1012,413,2319,Documentary,G,5.99,2,7,24,6
426,1853,413,3273,Documentary,G,6.99,1,3,25,6
166,2077,413,3528,Documentary,G,4.99,1,4,27,7
598,2518,413,3969,Documentary,G,4.99,2,4,27,7
540,3178,413,4625,Documentary,G,4.99,1,6,27,7
222,4470,413,5917,Documentary,G,5.99,2,1,27,7
526,5819,413,7266,Documentary,G,7.99,1,4,30,7
173,6187,413,7634,Documentary,G,4.99,1,5,30,7
83,7036,413,8483,Documentary,G,4.99,2,6,30,7
383,7542,413,8989,Documentary,G,4.99,1,7,30,7
244,8062,413,9509,Documentary,G,4.99,2,1,30,7
460,8665,413,10112,Documentary,G,4.99,2,1,30,7
503,9865,413,11312,Documentary,G,4.99,1,3,31,8
406,9893,413,11340,Documentary,G,7.99,2,3,31,8
395,10938,413,12385,Documentary,G,4.99,1,5,33,8
301,12048,413,13495,Documentary,G,6.99,2,7,33,8
68,12339,413,13786,Documentary,G,4.99,1,7,33,8
20,12649,413,14096,Documentary,G,4.99,2,1,33,8
27,12731,413,14178,Documentary,G,4.99,1,1,33,8
584,12995,413,14442,Documentary,G,4.99,1,1,33,8
261,13158,413,14605,Documentary,G,6.99,2,1,33,8
401,14081,413,15528,Documentary,G,4.99,2,3,34,8
132,4276,785,5723,Travel,PG,2.99,1,1,27,7
426,5152,785,6599,Travel,PG,2.99,1,3,28,7
176,5997,785,7444,Travel,PG,2.99,1,4,30,7
5,6267,785,7714,Travel,PG,2.99,2,5,30,7
233,6298,785,7745,Travel,PG,2.99,2,5,30,7
212,8993,785,10440,Travel,PG,2.99,1,2,31,8
16,9889,785,11336,Travel,PG,2.99,2,3,31,8
281,9914,785,11361,Travel,PG,4.99,1,3,31,8
136,10798,785,12245,Travel,PG,2.99,2,5,33,8
375,11886,785,13333,Travel,PG,2.99,1,6,33,8
30,12325,785,13772,Travel,PG,2.99,2,7,33,8
59,12478,785,13925,Travel,PG,2.99,2,7,33,8
189,12947,785,14394,Travel,PG,2.99,1,1,33,8
217,13186,785,14633,Travel,PG,2.99,1,1,33,8
112,2097,788,3548,Travel,G,3.99,1,4,27,7
164,4659,788,6106,Travel,G,0.99,1,2,28,7
324,6396,788,7843,Travel,G,1.99,1,5,30,7
437,8764,788,10211,Travel,G,3.99,1,2,31,8
416,9858,788,11305,Travel,G,1.99,1,3,31,8
378,10939,788,12386,Travel,G,1.99,1,5,33,8
22,11323,788,12770,Travel,G,6.99,1,5,33,8
493,14369,788,15816,Travel,G,0.99,1,3,34,8
406,137,842,1313,Games,NC-17,4.99,1,4,24,6
542,1272,842,2607,Games,NC-17,4.99,1,1,24,6
63,2389,842,3840,Games,NC-17,2.99,1,4,27,7
67,2711,842,4162,Games,NC-17,6.99,1,5,27,7
145,7583,842,9030,Games,NC-17,7.99,2,7,30,7
377,8376,842,9823,Games,NC-17,2.99,1,1,30,7
244,8536,842,9983,Games,NC-17,5.99,1,1,30,7
460,9079,842,10526,Games,NC-17,2.99,2,2,31,8
523,11043,842,12490,Games,NC-17,6.99,1,5,33,8
449,12126,842,13573,Games,NC-17,0,1,3,7,2
199,12316,842,13763,Games,NC-17,5.99,2,7,33,8
587,13896,842,15343,Games,NC-17,2.99,2,2,34,8
254,865,388,2140,Comedy,NC-17,4.99,2,6,24,6
45,1445,388,2806,Comedy,NC-17,3.99,1,1,24,6
60,1545,388,2918,Comedy,NC-17,3.99,1,2,25,6
496,1722,388,3126,Comedy,NC-17,3.99,2,2,25,6
514,2418,388,3869,Comedy,NC-17,0.99,1,4,27,7
175,3353,388,4800,Comedy,NC-17,1.99,1,6,27,7
60,3441,388,4888,Comedy,NC-17,3.99,2,6,27,7
599,3615,388,5062,Comedy,NC-17,0.99,2,7,27,7
374,4861,388,6308,Comedy,NC-17,0.99,2,2,28,7
65,5594,388,7041,Comedy,NC-17,0.99,2,4,30,7
279,5788,388,7235,Comedy,NC-17,0.99,1,4,30,7
559,6229,388,7676,Comedy,NC-17,1.99,1,5,30,7
393,6803,388,8250,Comedy,NC-17,0.99,2,6,30,7
163,7716,388,9163,Comedy,NC-17,4.99,1,7,30,7
23,7959,388,9406,Comedy,NC-17,0.99,2,7,30,7
338,10397,388,11844,Comedy,NC-17,0.99,1,3,7,2
295,10425,388,11872,Comedy,NC-17,4.99,2,4,33,8
455,10896,388,12343,Comedy,NC-17,0.99,2,5,33,8
279,12524,388,13971,Comedy,NC-17,0.99,1,7,33,8
206,12886,388,14333,Comedy,NC-17,0.99,2,1,33,8
596,13971,388,15418,Comedy,NC-17,0.99,1,3,7,2
540,117,418,1288,Action,G,4.99,2,4,24,6
124,539,418,1773,Action,G,4.99,2,5,24,6
583,1509,418,2876,Action,G,3.99,1,2,25,6
460,1525,418,2896,Action,G,0.99,1,2,25,6
567,3122,418,4573,Action,G,0.99,1,6,27,7
264,3187,418,4634,Action,G,0.99,1,6,27,7
19,3222,418,4669,Action,G,3.99,2,6,27,7
196,4086,418,5533,Action,G,0.99,1,1,27,7
447,5085,418,6532,Action,G,0.99,2,3,28,7
439,5906,418,7353,Action,G,1.99,1,4,30,7
327,6274,418,7721,Action,G,2.99,2,5,30,7
502,6570,418,8017,Action,G,2.99,1,5,30,7
158,6712,418,8159,Action,G,0.99,1,5,30,7
89,8972,418,10419,Action,G,0.99,2,2,31,8
52,9850,418,11297,Action,G,2.99,1,3,31,8
590,10263,418,11710,Action,G,3.99,1,4,33,8
320,10568,418,12015,Action,G,4.99,2,4,33,8
231,11091,418,12538,Action,G,0.99,1,5,33,8
587,13258,418,14705,Action,G,4.99,2,1,33,8
140,13336,418,14783,Action,G,2.99,1,2,34,8
31,14092,418,15539,Action,G,4.99,1,3,34,8
69,701,551,1955,Classics,R,8.99,1,6,24,6
545,847,551,2121,Classics,R,2.99,1,6,24,6
452,3344,551,4791,Classics,R,8.99,1,6,27,7
347,5430,551,6877,Classics,R,8.99,1,3,28,7
114,7770,551,9217,Classics,R,6.99,1,7,30,7
155,8826,551,10273,Classics,R,6.99,1,2,31,8
571,11777,551,13224,Classics,R,2.99,1,6,33,8
439,11868,551,13315,Classics,R,7.99,1,6,33,8
392,61,603,1230,Sci-Fi,PG,0.99,1,4,24,6
551,799,603,2067,Sci-Fi,PG,4.99,2,6,24,6
24,1461,603,2824,Sci-Fi,PG,0.99,2,1,24,6
372,1953,603,3393,Sci-Fi,PG,0.99,1,3,25,6
472,2463,603,3914,Sci-Fi,PG,0.99,2,4,27,7
421,2722,603,4173,Sci-Fi,PG,4.99,2,5,27,7
190,2749,603,4200,Sci-Fi,PG,0.99,1,5,27,7
367,3914,603,5361,Sci-Fi,PG,0.99,2,7,27,7
114,5385,603,6832,Sci-Fi,PG,0.99,1,3,28,7
212,6033,603,7480,Sci-Fi,PG,0.99,2,4,30,7
24,8266,603,9713,Sci-Fi,PG,3.99,2,1,30,7
150,8702,603,10149,Sci-Fi,PG,2.99,2,1,30,7
213,9115,603,10562,Sci-Fi,PG,0.99,1,2,31,8
90,9638,603,11085,Sci-Fi,PG,3.99,1,3,31,8
361,11344,603,12791,Sci-Fi,PG,0.99,2,6,33,8
577,11749,603,13196,Sci-Fi,PG,3.99,2,6,33,8
22,12709,603,14156,Sci-Fi,PG,2.99,1,1,33,8
299,13021,603,14468,Sci-Fi,PG,0.99,2,1,33,8
142,13857,603,15304,Sci-Fi,PG,0.99,1,2,34,8
429,270,127,1469,Horror,PG,2.99,2,4,24,6
392,777,127,2043,Horror,PG,2.99,1,6,24,6
594,1875,127,3299,Horror,PG,1.99,1,3,25,6
561,1979,127,3424,Horror,PG,0.99,1,3,25,6
157,2940,127,4391,Horror,PG,2.99,1,5,27,7
30,3081,127,4532,Horror,PG,0.99,1,6,27,7
578,3995,127,5442,Horror,PG,0.99,2,7,27,7
480,4031,127,5478,Horror,PG,0.99,1,7,27,7
362,4702,127,6149,Horror,PG,0.99,1,2,28,7
521,6485,127,7932,Horror,PG,0.99,1,5,30,7
102,6850,127,8297,Horror,PG,0.99,1,6,30,7
193,8786,127,10233,Horror,PG,0.99,1,2,31,8
440,9292,127,10739,Horror,PG,1.99,2,2,31,8
338,9313,127,10760,Horror,PG,0.99,2,2,31,8
448,9656,127,11103,Horror,PG,0.99,1,3,31,8
467,9891,127,11338,Horror,PG,0.99,2,3,31,8
447,10802,127,12249,Horror,PG,0.99,2,5,33,8
501,11188,127,12635,Horror,PG,2.99,1,5,33,8
168,12418,127,13865,Horror,PG,1.99,1,7,33,8
289,13304,127,14751,Horror,PG,0.99,2,1,33,8
588,13657,127,15104,Horror,PG,1.99,2,2,34,8
189,13957,127,15404,Horror,PG,0.99,1,2,34,8
463,14560,127,16007,Horror,PG,0.99,1,3,34,8
201,1316,232,2664,Drama,G,3.99,1,1,24,6
464,1802,232,3214,Drama,G,2.99,1,3,25,6
287,3444,232,4891,Drama,G,2.99,1,6,27,7
134,3613,232,5060,Drama,G,2.99,1,7,27,7
115,6114,232,7561,Drama,G,2.99,1,4,30,7
390,9989,232,11436,Drama,G,2.99,1,3,31,8
293,12264,232,13711,Drama,G,2.99,1,7,33,8
128,12578,232,14025,Drama,G,2.99,1,7,33,8
144,953,320,2248,Sci-Fi,R,3.99,2,7,24,6
172,1426,320,2785,Sci-Fi,R,2.99,2,1,24,6
332,2609,320,4060,Sci-Fi,R,5.99,1,5,27,7
24,3403,320,4850,Sci-Fi,R,2.99,1,6,27,7
252,3562,320,5009,Sci-Fi,R,2.99,2,7,27,7
218,4126,320,5573,Sci-Fi,R,2.99,1,1,27,7
223,4185,320,5632,Sci-Fi,R,5.99,2,1,27,7
251,4548,320,5995,Sci-Fi,R,2.99,2,2,28,7
230,5857,320,7304,Sci-Fi,R,5.99,1,4,30,7
590,6214,320,7661,Sci-Fi,R,2.99,2,5,30,7
508,6918,320,8365,Sci-Fi,R,2.99,2,6,30,7
347,7054,320,8501,Sci-Fi,R,6.99,1,6,30,7
284,8120,320,9567,Sci-Fi,R,2.99,1,1,30,7
213,8821,320,10268,Sci-Fi,R,4.99,2,2,31,8
542,8828,320,10275,Sci-Fi,R,4.99,2,2,31,8
102,10723,320,12170,Sci-Fi,R,2.99,2,5,33,8
453,11179,320,12626,Sci-Fi,R,4.99,2,5,33,8
496,11331,320,12778,Sci-Fi,R,5.99,1,5,33,8
446,13671,320,15118,Sci-Fi,R,3.99,2,2,34,8
375,13914,320,15361,Sci-Fi,R,6.99,1,2,34,8
43,13990,320,15437,Sci-Fi,R,2.99,1,3,34,8
263,14465,320,15912,Sci-Fi,R,3.99,2,3,34,8
175,391,493,1607,Foreign,R,0.99,2,5,24,6
36,936,493,2229,Foreign,R,0.99,2,7,24,6
408,1260,493,2594,Foreign,R,0.99,2,1,24,6
307,3146,493,4593,Foreign,R,1.99,2,6,27,7
536,3746,493,5193,Foreign,R,0.99,2,7,27,7
229,4691,493,6138,Foreign,R,1.99,2,2,28,7
146,6929,493,8376,Foreign,R,0.99,2,6,30,7
